,Fragment.ID,Temp.C,Date,Chamber.Channel,Position,Bin.ID,Run,Species,Genotype,Fragment.Number,Temp.Cat,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr,Pgross_umol.cm2.hr
1,OF1-1,23.89403488,20171001,2,2,1,1,OF,1,1,24,1.133988172,-0.531298394,1.665286565
4,OF1-2,25.69395625,20171001,9,9,1,2,OF,1,2,26,0.775719481,-0.443703539,1.219423021
6,OF1-7,27.33663793,20171003,5,5,1,7,OF,1,7,27,0.507305547,-0.587452725,1.094758272
2,OF1-10,29.17865698,20171004,3,3,1,10,OF,1,10,29,1.3033204,-0.932596804,2.235917204
5,OF1-6,31.33464535,20171003,2,2,1,6,OF,1,6,31,1.068147023,-0.916598093,1.984745116
8,OF1-9,32.17060571,20171004,1,1,1,9,OF,1,9,32,1.105161604,-0.857163131,1.962324735
7,OF1-8,33.95513609,20171004,7,7,1,8,OF,1,8,34,0.421575339,-1.119194842,1.540770182
3,OF1-11,36.16536994,20171020,3,3,1,11,OF,1,11,36,-0.570902386,-0.471119506,-0.09978288
9,OF2-1,23.92566864,20171001,5,5,1,1,OF,2,1,24,0.61827673,-0.374981156,0.993257886
12,OF2-2,25.78701099,20171001,3,3,1,2,OF,2,2,26,0.675002449,-0.508930222,1.183932672
14,OF2-7,27.13344706,20171003,6,6,1,7,OF,2,7,27,0.692653743,-0.746173878,1.438827621
10,OF2-10,29.19566474,20171004,2,2,1,10,OF,2,10,29,1.657750856,-1.057084802,2.714835658
13,OF2-6,30.78891071,20171003,4,4,1,6,OF,2,6,31,0.830967226,-0.949900974,1.7808682
16,OF2-9,32.03925731,20171004,8,8,1,9,OF,2,9,32,0.79539423,-0.935127033,1.730521263
15,OF2-8,33.64469006,20171004,10,10,1,8,OF,2,8,34,0.092734694,-1.025930731,1.118665425
11,OF2-11,35.76719883,20171020,8,8,1,11,OF,2,11,36,-0.628341137,-0.631403081,0.003061945
17,OF3-1,23.98582353,20171001,8,8,1,1,OF,3,1,24,0.916888491,-0.427156597,1.344045088
20,OF3-2,25.965625,20171001,7,7,1,2,OF,3,2,26,1.06665322,-0.20489424,1.271547461
22,OF3-7,27.31943094,20171003,2,2,1,7,OF,3,7,27,0.896974486,-0.507366737,1.404341223
18,OF3-10,29.27557895,20171004,1,1,1,10,OF,3,10,29,1.310997793,-0.721660829,2.032658623
21,OF3-6,30.89338372,20171003,3,3,1,6,OF,3,6,31,1.260554687,-0.943591976,2.204146663
24,OF3-9,31.95745087,20171004,9,9,1,9,OF,3,9,32,1.028963179,-0.642359616,1.671322795
23,OF3-8,33.73636416,20171004,6,6,1,8,OF,3,8,34,0.637119248,-0.628779727,1.265898975
19,OF3-11,36.0905896,20171020,7,7,1,11,OF,3,11,36,-0.515401604,-0.426683378,-0.088718226
25,OF4-1,24.02727673,20171001,11,11,1,1,OF,4,1,24,0.882167073,-0.141591688,1.023758761
28,OF4-2,26.02807059,20171001,5,5,1,2,OF,4,2,26,1.198058594,-0.473322657,1.67138125
30,OF4-7,27.15493714,20171003,3,3,1,7,OF,4,7,27,0.75947662,-0.602335611,1.361812231
26,OF4-10,29.01517442,20171004,9,9,1,10,OF,4,10,29,1.327359867,-0.764783822,2.092143689
29,OF4-6,31.12608824,20171003,8,8,1,6,OF,4,6,31,1.284531198,-1.099519327,2.384050525
32,OF4-9,31.98075,20171004,6,6,1,9,OF,4,9,32,0.75736902,-0.553386697,1.310755718
31,OF4-8,33.73348256,20171004,8,8,1,8,OF,4,8,34,1.13438318,-0.823223211,1.957606391
27,OF4-11,35.72635928,20171020,4,4,1,11,OF,4,11,36,-0.393849148,-0.370371163,-0.023477985