paper_id,study_id,source,org_level,genus,species,temp,temp_units,npp_def,npp_value,npp_units ,gas,gas_unit,mass/area,time,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type,r_value
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,2,C,net photosynthesis,410.5516387,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,T,lab,,,,,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,10.1379763
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,5,C,net photosynthesis,643.6552891,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,T,lab,,,,,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,44.76949528
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,10,C,net photosynthesis,782.6207667,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,T,lab,,,,,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,148.9181138
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,15,C,net photosynthesis,679.5925184,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,T,lab,,,,,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,329.6642388
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,20,C,net photosynthesis,499.9646813,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,T,lab,,,,,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,597.4577175
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,25,C,net photosynthesis,233.2915728,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,T,lab,,,,,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,875.7010436
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,30,C,net photosynthesis,-64.72691288,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,T,lab,,,,,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,1124.342022
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,0,C,net photosynthesis,1.668372569,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-0.468781986
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,0,C,net photosynthesis,3.626283368,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-0.414784394
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,5,C,net photosynthesis,3.48618219,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-0.714431934
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,5,C,net photosynthesis,5.967145791,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-0.661190965
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,10,C,net photosynthesis,8.423746162,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-1.303991812
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,10,C,net photosynthesis,8.406570842,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-1.055441478
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,15,C,net photosynthesis,10.11873081,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-2.409416581
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,15,C,net photosynthesis,10.27926078,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-2.583162218
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,20,C,net photosynthesis,8.178096213,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-3.785056295
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,20,C,net photosynthesis,11.90554415,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-3.618069815
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,25,C,net photosynthesis,5.74616172,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-5.357215967
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,25,C,net photosynthesis,11.80698152,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-4.012320329
delprado_1995,delprado_1995,figure 2,pop,ramalina,bourgeana,30,C,net photosynthesis,5.279426817,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-7.445240532
delprado_1995,delprado_1995,figure 2,pop,teloschistes,lacunosus,30,C,net photosynthesis,8.997946612,umol CO2 *kg dw^-1 *s^-1,co2,umol,kg,sec,T,lab,,,,,1200,1200,umol *m^-2 *s^-1,,36.834,temperate,neutral,green algae,-4.258726899
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,0,C,net photosynthesis,1.01048218,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,germany,1200,1200,umol *m^-2 *s^-1,,49.58,temperate,neutral,green algae,-1.06918239
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,0,C,net photosynthesis,1.278825996,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,spain,1200,1200,umol *m^-2 *s^-1,,41.39,temperate,neutral,green algae,-0.532494759
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,0,C,net photosynthesis,0.13836478,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,antarctica,1200,1200,umol *m^-2 *s^-1,,-62.24,subantarctic,neutral,green algae,-0.63312369
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,0,C,net photosynthesis,0.071278826,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,svalbard,1200,1200,umol *m^-2 *s^-1,,78.1,arctic,neutral,green algae,-0.733752621
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,5,C,net photosynthesis,3.157232704,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,germany,1200,1200,umol *m^-2 *s^-1,,49.58,temperate,neutral,green algae,-1.303983229
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,5,C,net photosynthesis,2.519916143,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,spain,1200,1200,umol *m^-2 *s^-1,,41.39,temperate,neutral,green algae,-0.733752621
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,5,C,net photosynthesis,0.373165618,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,antarctica,1200,1200,umol *m^-2 *s^-1,,-62.24,subantarctic,neutral,green algae,-0.800838574
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,5,C,net photosynthesis,0.708595388,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,svalbard,1200,1200,umol *m^-2 *s^-1,,78.1,arctic,neutral,green algae,-1.002096436
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,10,C,net photosynthesis,6.27672956,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,germany,1200,1200,umol *m^-2 *s^-1,,49.58,temperate,neutral,green algae,-2.142557652
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,10,C,net photosynthesis,5.169811321,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,spain,1200,1200,umol *m^-2 *s^-1,,41.39,temperate,neutral,green algae,-1.236897275
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,10,C,net photosynthesis,0.909853249,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,antarctica,1200,1200,umol *m^-2 *s^-1,,-62.24,subantarctic,neutral,green algae,-1.169811321
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,10,C,net photosynthesis,1.077568134,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,svalbard,1200,1200,umol *m^-2 *s^-1,,78.1,arctic,neutral,green algae,-1.002096436
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,15,C,net photosynthesis,5.438155136,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,germany,1200,1200,umol *m^-2 *s^-1,,49.58,temperate,neutral,green algae,-2.142557652
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,15,C,net photosynthesis,4.264150943,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,spain,1200,1200,umol *m^-2 *s^-1,,41.39,temperate,neutral,green algae,-1.303983229
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,15,C,net photosynthesis,0.809224319,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,antarctica,1200,1200,umol *m^-2 *s^-1,,-62.24,subantarctic,neutral,green algae,-1.169811321
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,15,C,net photosynthesis,0.540880503,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,svalbard,1200,1200,umol *m^-2 *s^-1,,78.1,arctic,neutral,green algae,-1.471698113
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,20,C,net photosynthesis,7.819706499,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,germany,1200,1200,umol *m^-2 *s^-1,,49.58,temperate,neutral,green algae,-3.719077568
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,20,C,net photosynthesis,5.102725367,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,spain,1200,1200,umol *m^-2 *s^-1,,41.39,temperate,neutral,green algae,-2.041928721
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,20,C,net photosynthesis,0.171907757,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,antarctica,1200,1200,umol *m^-2 *s^-1,,-62.24,subantarctic,neutral,green algae,-2.310272537
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,20,C,net photosynthesis,0.507337526,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,svalbard,1200,1200,umol *m^-2 *s^-1,,78.1,arctic,neutral,green algae,-2.209643606
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,25,C,net photosynthesis,7.215932914,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,germany,1200,1200,umol *m^-2 *s^-1,,49.58,temperate,neutral,green algae,-4.557651992
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,25,C,net photosynthesis,3.693920335,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,spain,1200,1200,umol *m^-2 *s^-1,,41.39,temperate,neutral,green algae,-3.115303983
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,25,C,net photosynthesis,-0.599580713,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,antarctica,1200,1200,umol *m^-2 *s^-1,,-62.24,subantarctic,neutral,green algae,-2.846960168
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,25,C,net photosynthesis,-0.465408805,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,svalbard,1200,1200,umol *m^-2 *s^-1,,78.1,arctic,neutral,green algae,-2.779874214
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,30,C,net photosynthesis,2.050314465,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,germany,1200,1200,umol *m^-2 *s^-1,,49.58,temperate,neutral,green algae,-4.859538784
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,30,C,net photosynthesis,1.178197065,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,spain,1200,1200,umol *m^-2 *s^-1,,41.39,temperate,neutral,green algae,-3.719077568
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,30,C,net photosynthesis,-0.834381551,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,antarctica,1200,1200,umol *m^-2 *s^-1,,-62.24,subantarctic,neutral,green algae,-2.578616352
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,30,C,net photosynthesis,-0.666666667,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,svalbard,1200,1200,umol *m^-2 *s^-1,,78.1,arctic,neutral,green algae,-3.249475891
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,0,C,net photosynthesis,6.160201827,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-7.251156131
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,0,,net photosynthesis,8.64321608,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-7.236180905
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,5,C,net photosynthesis,6.75252584,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-10.40112625
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,5,,net photosynthesis,12.26130653,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-10.25125628
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,10,C,net photosynthesis,7.344849853,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-16.04713564
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,10,,net photosynthesis,14.67336683,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-16.08040201
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,15,C,net photosynthesis,-6.721401555,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-32.29657914
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,15,,net photosynthesis,-2.010050251,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-32.36180905
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,20,C,net photosynthesis,-7.687858721,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-30.14419047
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,20,,net photosynthesis,-1.809045226,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-30.35175879
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,4.821405348,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.31961574
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,5.109928361,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.26715701
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,5.26730455,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.31961574
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,5.398516948,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.26715701
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,5.582056929,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.31961574
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,-0.31961574,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.86597341
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,7.05529478,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.734892159
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,6.95037732,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.6299747
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,6.819230496,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.551286605
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,6.137267009,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.734892159
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,6.058578915,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.6299747
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,5.796285266,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.551286605
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,5.507762253,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.097775422
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,6.862967962,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.992857963
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.112146928,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.914169868
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.295752482,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.835481773
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.505587401,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.097775422
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.66296359,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.992857963
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.82033978,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.914169868
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.951486604,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.835481773
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,8.056404063,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.565510571
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,7.404997787,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.460593112
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,7.667324222,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.276987557
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,7.79843826,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.119611368
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,7.903355719,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.909776449
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,8.008273179,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.565510571
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,8.139420003,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.460593112
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,17,C,net photosynthesis,8.323025557,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.276987557
